id,theta,E,ra,dec
102393684200,66.7118,62.6333,311.54,-14.1206
70697659600,30.58,62.5953,199.99,-43.31
71995103700,16.3,62.5292,239.84,-35.15
102414692000,17.85,62.5164,266.05,-26.22
152301053301,35.97,62.4797,121.82,0.52
162894935800,9.19,62.3864,330.39,-38.09
92880967300,34.25,62.3456,217.96,-51.46
61603564000,76.5163,62.3102,51.3993,-43.3877
142340194700,56.09,62.3054,17.29,-39.15
171985467800,30.42,62.2026,250.79,-13.7
61001151800,33.74,62.1537,28.75,-16.22
153090523100,15.21,62.0922,158.28,-35.99
172680647400,67.8735,62.0647,54.0503,-38.2086
121557651800,64.2748,61.704,244.111,-30.9098
80485088700,76.888,61.6956,18.5062,-25.5232
142732833700,57.79,61.6931,147.04,-69.48
72036095600,55.3,61.6898,265.89,5.97
110626352900,11.77,61.6824,172.92,-24.12
82150508800,42.68,61.6532,65.97,4.45
131754365600,50.65,61.5795,211.26,14.97
110382503100,33.86,61.5071,33.54,-31.66
50501323000,67.5068,61.4379,27.6788,-13.9651
181568443900,23.28,61.4196,9.69,-14.48
121983535800,43.35,61.2518,228.5,-6.31
142990555301,15.4,61.2165,152.65,-44.37
161838221700,56.56,61.2049,340.45,11.65
93040608100,29.99,61.1826,177.79,-5.12
172921813100,43.07,61.0122,172.28,-14.37
91408356000,26.96,60.8991,330.91,-9.08
42822248100,26.53,60.7804,208.08,-60.33
103420851100,40.49,60.6748,170.96,-43.74
92198504200,40.15,60.6591,29.35,-8.61
160716331300,35.49,60.6055,229.48,-51.54
182316714800,31.06,60.5449,348.41,-5.9
141362682500,40.95,60.3778,123.79,-2.45
141914785000,45.57,60.3277,178.08,-50.63
91601956000,40.74,60.2959,44.04,-25.45
121326386900,62.3558,60.2892,187.766,-5.08549
93071118800,9.44,60.2575,206.51,-27.53
150300280200,32.42,60.2263,284.33,-19.39
140493774401,41.66,60.209,2.47,-49.12
132812920400,65.0539,60.1473,326.185,-25.0739
171330200300,58.23,60.1411,261.52,-64.81
131442494300,49.7,60.1006,33.39,-38.97
101931116800,69.6904,60.0949,147.997,5.51358
82667586100,58.69,60.0506,340.01,-63.36
181360104200,62.9202,60.0211,268.69,-37.1468
123015898900,38.54,59.9301,56.28,-3.18
150753026500,67.5562,59.5925,112.919,0.20505
181212227800,45.2,59.5793,68.43,9.91
162093230600,45.18,59.5583,251.43,-51.96
181507509000,64.6864,59.4064,115.379,-79.6558
112401718800,46.59,59.4054,219.31,-41.9
172878482000,9.91,59.3479,131.49,-25.64
152677849300,55.52,59.2882,42.85,6.85
130737580700,15.99,59.2302,228.62,-22.33
62990573000,26.05,59.2284,200.87,-45.38
50816063000,16.51,59.2284,198.65,-47.95
163028289200,42.81,59.2148,182.16,-69.18
173386847700,28.34,59.2049,80.81,-55.23
173614278501,67.9151,59.1867,109.91,-32.0838
80495616400,50.66,59.0772,64.09,-52.88
180664348600,69.4163,59.0555,219.062,-65.7916
80517423900,20.87,58.9333,201.8,-55.03
80726398500,4.37,58.8052,184.54,-32.34
161140164600,50.36,58.7834,322.81,-85.59
133023016800,49.31,58.779,298.68,8.61
92258432800,26.38,58.6764,90.73,-21.17
80884568900,8.02,58.6073,128.71,-43.3
181142696800,38.74,58.5724,60.03,0.48
122062052800,61.5898,58.4867,309.315,-83.0663
172633998400,48.88,58.477,210.4,-67.2
151070464301,40.49,58.4428,290.02,-66.09
91683363800,26.95,58.4168,153.65,-8.58
161164717700,29.66,58.236,189.94,-58.57
92192714100,59.62,58.2312,303.49,-81.8
133203217400,22.31,58.2099,286.56,-55.15
180471939400,76.2656,58.1553,236.263,-39.5755
112070035800,64.9786,58.0441,343.191,-19.9667
102233941100,39.44,58.005,250.64,-73.95
132492418000,30,57.8073,160.37,-35.02
161534340900,63.9954,57.7978,245.756,-7.34601
110864087200,59.36,57.7761,160.24,-3.1
152183467600,79.4533,57.578,38.9558,-65.07
181543041000,39.46,57.566,158.55,-5.97
82056930700,52.94,57.5581,358.9,15.38
82986160700,35,57.4497,64.51,-7.01
113180414200,36.72,57.4401,148.81,-12.93
90836210000,68.5783,57.3978,247.803,9.11258
101108059200,44.07,57.3515,305.38,8.08
